topic_id,discipline,main_keyword,secondary_keywords,search_intent,season,content_type,buyer_intent_score,angle,recommended_product_clusters,internal_link_targets
1,karper,beste boilies winter,"karper aas winter,karper tips winter,watertemperatuur winter",koop,winter,toplist,5,prijs/kwaliteit + situaties,"boilies,popups,wafters,pellets,liquids,rigs,haken,onderlijnen","aas-gids,rigs-gids,knopen,stekkenmap,weer-tool"
2,karper,beste boilies voorjaar,"karper aas voorjaar,karper tips voorjaar,watertemperatuur voorjaar",koop,voorjaar,toplist,5,prijs/kwaliteit + situaties,"boilies,popups,wafters,pellets,liquids,rigs,haken,onderlijnen","aas-gids,rigs-gids,knopen,stekkenmap,weer-tool"
3,karper,beste boilies zomer,"karper aas zomer,karper tips zomer,watertemperatuur zomer",koop,zomer,toplist,5,prijs/kwaliteit + situaties,"boilies,popups,wafters,pellets,liquids,rigs,haken,onderlijnen","aas-gids,rigs-gids,knopen,stekkenmap,weer-tool"
4,karper,beste boilies herfst,"karper aas herfst,karper tips herfst,watertemperatuur herfst",koop,herfst,toplist,5,prijs/kwaliteit + situaties,"boilies,popups,wafters,pellets,liquids,rigs,haken,onderlijnen","aas-gids,rigs-gids,knopen,stekkenmap,weer-tool"
5,karper,beste pop-ups winter,"karper aas winter,karper tips winter,watertemperatuur winter",koop,winter,toplist,5,zichtbaarheid + attractie,"boilies,popups,wafters,pellets,liquids,rigs,haken,onderlijnen","aas-gids,rigs-gids,knopen,stekkenmap,weer-tool"
6,karper,beste pop-ups voorjaar,"karper aas voorjaar,karper tips voorjaar,watertemperatuur voorjaar",koop,voorjaar,toplist,5,zichtbaarheid + attractie,"boilies,popups,wafters,pellets,liquids,rigs,haken,onderlijnen","aas-gids,rigs-gids,knopen,stekkenmap,weer-tool"
7,karper,beste pop-ups zomer,"karper aas zomer,karper tips zomer,watertemperatuur zomer",koop,zomer,toplist,5,zichtbaarheid + attractie,"boilies,popups,wafters,pellets,liquids,rigs,haken,onderlijnen","aas-gids,rigs-gids,knopen,stekkenmap,weer-tool"
8,karper,beste pop-ups herfst,"karper aas herfst,karper tips herfst,watertemperatuur herfst",koop,herfst,toplist,5,zichtbaarheid + attractie,"boilies,popups,wafters,pellets,liquids,rigs,haken,onderlijnen","aas-gids,rigs-gids,knopen,stekkenmap,weer-tool"
9,karper,beste wafters winter,"karper aas winter,karper tips winter,watertemperatuur winter",koop,winter,toplist,5,neutrale presentatie,"boilies,popups,wafters,pellets,liquids,rigs,haken,onderlijnen","aas-gids,rigs-gids,knopen,stekkenmap,weer-tool"
10,karper,beste wafters voorjaar,"karper aas voorjaar,karper tips voorjaar,watertemperatuur voorjaar",koop,voorjaar,toplist,5,neutrale presentatie,"boilies,popups,wafters,pellets,liquids,rigs,haken,onderlijnen","aas-gids,rigs-gids,knopen,stekkenmap,weer-tool"
11,karper,beste wafters zomer,"karper aas zomer,karper tips zomer,watertemperatuur zomer",koop,zomer,toplist,5,neutrale presentatie,"boilies,popups,wafters,pellets,liquids,rigs,haken,onderlijnen","aas-gids,rigs-gids,knopen,stekkenmap,weer-tool"
12,karper,beste wafters herfst,"karper aas herfst,karper tips herfst,watertemperatuur herfst",koop,herfst,toplist,5,neutrale presentatie,"boilies,popups,wafters,pellets,liquids,rigs,haken,onderlijnen","aas-gids,rigs-gids,knopen,stekkenmap,weer-tool"
13,karper,beste pellets winter,"karper aas winter,karper tips winter,watertemperatuur winter",koop,winter,toplist,4,voersnelheid + selectiviteit,"boilies,popups,wafters,pellets,liquids,rigs,haken,onderlijnen","aas-gids,rigs-gids,knopen,stekkenmap,weer-tool"
