species_id,name_nl,xp_base,difficulty,name_latin,water_set,set_group,advice_group,angling_group,rarity,is_protected_nl,region_set,is_core_sport,is_collectible,card_style,habitat,life_history_notes,distribution_nl_notes,identification_notes,record_nl,environment,image_ref,data_source
nl-afrikaanse-meerval,Afrikaanse meerval,20,3,Clarias gariepinus,zoet,witvis,witvis,witvis,uncommon,no,NL,yes,yes,style_epic,Zoet,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-alver,Alver,5,1,Alburnus alburnus,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,"Het verspreidingsgebied van alver beslaat bijna heel Europa tot aan de Oeral. Alleen in de meest noordelijke en zuidelijke delen van Europa komt alver niet voor (ItaliÃ«, de Balkan, het grootste deel van Spanje en Griekenland). In Nederland komt de soort verspreid over het land voor met name in en rond de grote rivieren, het IJsselmeer en de randmeren.","De alver is een gedeeltelijk stromingsminnende soort. Ze hebben een voorkeur voor grotere, langzaam stromende wateren zoals rivieren, grote beken, maar komen ook voor in meren, plassen en kanalen. Alvers leven vaak in grote scholen en jagen in de bovenste waterlaag op zoÃ¶plankton en insecten.",https://www.verspreidingsatlas.nl/verspreidingskaart.aspx?soortcode=3001010,"De alver (Alburnus alburnus) behoort tot de familie van de karpers (Cyprinidae). Ze hebben een zijdelings afgeplat lichaam met opvallend zilver gekleurde schubben en spitse kop met een relatief kleine sterk bovenstandige bek. De soort kan 20 centimeter groot worden maar blijft meestal kleiner (circa 15 centimeter). Alvers kunnen verward worden met (jonge) roofblei, vetje en spiering. Roofblei heeft een grotere bek die tot onder het oog doorloopt, vetjes hebben een onvoledige zijlijn en spiering heeft een vetvin.",21 cm,fresh,SoortenDash_Images/32.Foto.214302.jpg,sportvisserij_nl + bestaande_db
nl-amerikaanse-hondsvis,Amerikaanse hondsvis,15,1,Umbra pygmaea,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,Zoet,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-ansjovis,Ansjovis,10,1,Engraulis encrasicolus,zout,pelagisch,pelagisch,pelagisch,common,unknown,NL,yes,yes,style_common,,,,,,sea,,sportvisserij_nl
nl-atlantische-zalm,Atlantische zalm,50,4,Salmo salar,zoet,roofvis,roofvis,roofvis,epic,no,NL,yes,yes,style_epic,,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-barbeel,Barbeel,25,3,Barbus barbus,zoet,witvis,witvis,witvis,uncommon,no,NL,yes,yes,style_uncommon,"Barbeel is een riviergebonden soort die voorkomt in West- en Centraal-Europa en delen van Oost-Europa. In Nederland komt de soort voor in de snellerstromende delen van de Rijntakken (IJssel en Waal), de Maas (Grensmaas) en Limburgse snel stromende riviertjes als de Geul en de Roer. Bekende Nederlandse voortplantingsplaatsen bevinden zich in de Grensmaas, de Geul, de Roer, de Worm en waarschijnlijk in ook in de Swalm. Het vermoeden bestaat dat de volwassen barbelen uit de Nederlandse Rijntakken naar het Duitse deel van de Rijn en hier gelegen zijriviertjes trekken om te paaien op de hier aanwezige grindbanken.",De barbeel is een geheel stromingsminnende soort. Ze leven in rivieren en grote beken met een matige tot snelle stroming. Adulte barbelen prefereren diepere plaatsen op de overgang van snelstromend naar langzamer stromend water zoals stroomkommen of in stroomkuilen nabij kribben. Jonge barbelen zijn ook vaak in de zeer snel stromende delen te vinden. Barbelen foeragerenâs nachts en tijdens de schemering waarbij ze de bodem met hun bekdraden afzoeken naar ongewervelden en kleine vissen.,https://www.verspreidingsatlas.nl/verspreidingskaart.aspx?soortcode=3001044,"Barbeel (Barbus barbus) behoort tot de familie van de karpers (Cyprinidae). De soort heeft een langgerekt lichaam met een afgeplatte kop en onderstandige uitstulpbare bek met viert bekdraden (twee op de bovenlip en Ã©Ã©n in elke mondhoek). De rug is bruin tot bruingroen met messing tot zilverkleurige flanken met kleine donkere vlekjes. Jonge barbelen zijn meer beige van kleur. De soort kan een lengte van 94 centimeter bereiken. De soort is te onderscheiden van gelijkende vissoorten door het aantal bekdraden, bermpje heeft er 6 en riviergrondel en witvinriviergrondel hebben er slechts 2.",89 cm,fresh,SoortenDash_Images/12.Foto.213927.jpg,sportvisserij_nl + bestaande_db
nl-beekforel,Beekforel,15,1,Salvelinus fontinalis,zoet,roofvis,roofvis,roofvis,common,no,NL,yes,yes,style_common,Bronforel komt oorspronkelijk uit het Oosten van Noord-Amerika en is over heel Europa uitgezet. De soort wordt als gevolg van uitzettingen of ontsnappingen uit kwekerijen incidenteel in Nederland waargenomen in met name de grote rivieren en enkele beken in Gelderland en Limburg. De eerste waarnemingen uit Nederland dateteren uit de jaren 70 van de vorige eeuw.,"De bronforel is gedeeltelijk stromingsminnend en heeft een voorkeur voor koude zuurstofrijke wateren zoals beken, rivieren en meren. Bronforel eet dierlijk plankton, kleine kreeftachtigen, kleine visjes, insectenlarven en insecten die op het wateroppervlak vallen.",https://www.verspreidingsatlas.nl/verspreidingskaart.aspx?soortcode=3001270,"Bronforel (Salvelinus fontinalis) behoort tot de familie van de zalmen (Salmonidae). De soort heeft een vetvin. De flanken zijn bruingroen van kleur met daarop gele en blauwe vlekken en de buik is rood.  Bronforel wordt tot ongeveer 50 centimeter lang. De kaak van de bronforel reikt tot achter het oog en hiermee onderscheidt hij zich van Atlantische forel, regenboogforel en zalm. Bronforel eet dierlijk plankton, kleine kreeftachtigen, kleine visjes, insectenlarven en insecten die op het wateroppervlak vallen. In het Oostvoornse Meer is de Elzasser saibling, een kruising tussen bronforel en Arctische forel (Salvenis alpinus), uitgezet ten behoeve van de sportvisserij. ",85 cm,fresh,SoortenDash_Images/16.Foto.214104.jpg,sportvisserij_nl + bestaande_db
nl-beekprik,Beekprik,15,3,Lampetra planeri,zoet,witvis,witvis,witvis,rare,yes,NL,yes,yes,style_rare,Zoet,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-bermpje,Bermpje,5,1,Barbatula barbatula,zoet,witvis,witvis,witvis,common,no,NL,yes,yes,style_common,Zoet,,,,,fresh,,sportvisserij_nl + bestaande_db
nl-bittervoorn,Bittervoorn,10,2,Rhodeus amarus,zoet,witvis,witvis,witvis,uncommon,yes,NL,yes,yes,style_uncommon,"Het verspreidingsgebied van bittervoorn strekt zich uit van Nederland tot aan de Kaspische Zee, waarbij de soort niet voorkomt op de door zee omringde eilanden, ScandinaviÃ«, Spanje, ItaliÃ« en Griekenland. Er zijn onderzoeken die erop duiden dat het verspreidingsgebied ooit beperkt was tot stroomgebieden aan de noordkant van de Zwarte Zee. De bittervoorn is mogelijk met karpertransporten in de middeleeuwen over Europa verspreid zijn en zo ook in Nederland terecht gekomen. Dit zou ook verklaren dat de soort Groningen en Drenthe niet heeft bereikt. De kern van de verspreiding in Nederland ligt in Noord-Holland, Zuid-Holland, Utrecht en langs de grote rivieren.","De bittervoorn is een plantminnende soort. Ze leven hebben een voorkeur voor stilstaande tot langzaamstromende wateren met plantenrijke oevers. In Nederland bestaat hun leefgebied uit uiterwaardwateren in het rivierengebied, bredere vaarten en sloten in poldergebieden, plassen en de benedenlopen van riviertjes en beken.Gedurende het jaar zwemmen ze in kleine groepjes of schooltjes maar s' winters kunnen op beschutte plaatsen scholen van duizende bittervoorns ontstaan. De soort voedt zich hier met plantaardig en klein dierlijk voedsel.",https://www.verspreidingsatlas.nl/verspreidingskaart.aspx?soortcode=3001261,"De bittervoorn (Rhodeus amarus) behoort tot de familie van de karpers (Cyprinidae). Het is een kleine vis met een hooggebouwd zijdelings afgeplat lichaam. De flanken zijn zilverkleurig met een blauwgroene lengtestreep richting de staartwortel. In de paaitijd krijgen de mannetjes een paarse gloed en worden ze rood op de borst, de vrouwtjes ontwikkelen een legbuis vanuit de anaalopening. Ze kunnen maximaal 9 centimeter lang worden. De zijlijn is onvolledig (vier tot zeven schubben lang). Jonge exemplaren van andere karperachtigen zoals brasem en kolblei vertonen enige gelijkenis. In tegenstelling tot de bittervoorn hebben deze soorten een volledige zijlijn en een langere anaalvin. Kroeskarper en giebel hebben een langere rugvin.",9 cm,fresh,SoortenDash_Images/27.Foto.214238.jpg,sportvisserij_nl + bestaande_db
